Crop_Name,Rainfall,Temperature_Required,Soil_Type,Top_Producers,Decription
Cotton, 60-100 cm,24° - 30°C,Cotton grows best on sandy soils with a minimum 5.5 soil pH and on clay soils with a minimum 5.8 soil pH. Soils should be well drained.,"Tamil Nadu, Punjab","Cotton is a soft, fluffy staple fiber that grows in a boll, or protective case, around the seeds of the cotton plants of the genus Gossypium in the mallow family Malvaceae.Cotton is a kharif crop which requires 6 to 8 months to mature. Its time of sowing and harvesting differs in different parts of the country depending upon the climatic conditions."
Tea,150-250 cm,13° -  28°C,"Tea grows well on high land well drained soils having a good depth, acidic pH in the range 4.5 to 5.5 and more than 2% organic matter.","Assam, West Bengal, Tamil Nadu",Camellia sinensis is a species of evergreen shrub or small tree whose leaves and leaf buds are used to produce tea.
Sugarcane,120-350 cm,20° - 26°C,"A well drained, deep, loamy soil with a bulk density of 1.1 to 1.2 g/cm3 (1.3-1.4 g/cm3 in sandy soils) and total porosity with an adequate balance between pores of various sizes.","UP, Maharashtra, Karnataka","Sugarcane, or sugar cane, or simply cane, are several species of tall perennial true grasses of the genus Saccharum, tribe Andropogoneae, used for sugar production."
Coffee,150-200 cm,23° -  28° C,Coffee can be grown on lots of soils but the ideal types are fertile volcanic red earth or deep sandy loam.,"Karnataka , Kerala",Coffea is a genus of flowering plants in the family Rubiaceae. Coffea species are shrubs or small trees native to tropical and southern Africa and tropical Asia.
Rice,150-350 cm,20° -  28° C,Fertile riverine alluvial soil is best for rice cultivation.,"West Bengal , UP","Rice is the seed of the grass species Oryza sativa (Asian rice) or Oryza glaberrima (African rice). As a cereal grain, it is the most widely consumed staple food for a large part of the world's human population, especially in Asia."
Wheat, 30-100 cm,Around 15° C,Loam soil is the best for wheat cultivation. Clay and sandy loam soils can also used for wheat cultivation.,"UP, Punjab","Wheat is a grass widely cultivated for its seed, a cereal grain which is a worldwide staple food."
Oilseed, 50-75 cm,20° - 30° C,It is grown on red sandy loams in the peninsular India and on light alluvial soils of the Satluj-Ganga plain.,"Gujarat, Rajasthan","Oilseed crops are primarily grown for edible oil. Recently, oilseeds attracted more attention due to an increasing demand for their healthy vegetable oils, livestock feeds, pharmaceuticals, biofuels, and other oleochemical industrial uses. "
Bajra, 40-75 cm,20° -  30° C,"It thrives best in black cotton soils, sandy loam soils having good drainage.","Rajasthan, Maharashtra","Bajra known as ""Pear Millet"" belongs to the family of Gramenea. Most prominently grown in Africa and Asia."
Tobacco, 60-150 cm,20° -  30° C,"A light, sandy soil is required for flue-cured, light tobacco. ",Andhra Pradesh,Tobacco is the common name of several plants in the Nicotiana genus and the Solanaceae (nightshade) family.
Maize, 60-100 cm,18° -  27° C,Maize can be grown successfully in variety of soils ranging from loamy sand to clay loam.,"Karnataka , Rajasthan","Corn, (Zea mays), also called Indian corn or maize, cereal plant of the grass family (Poaceae) and its edible grain."